row_id,order_id,order_date,customer_id,segment,region_code,product_code,quantity,sales,discount,profit
1,MX-2015-SC2057582-42279,2023-10-02,SC-2057582,Consumer,R2140,P000409,3,48.00,0.00,19.20
2,MX-2013-KW1657028-41562,2021-10-15,KW-1657028,Consumer,R0816,P000147,8,48.00,0.00,7.20
3,MX-2013-KW1657028-41562,2021-10-15,KW-1657028,Consumer,R0816,P000395,2,16.00,0.00,8.00
4,MX-2013-KW1657028-41562,2021-10-15,KW-1657028,Consumer,R0816,P002140,4,28.00,0.00,14.00
5,MX-2013-KW1657028-41562,2021-10-15,KW-1657028,Consumer,R0816,P002828,2,20.00,0.00,10.00
6,MX-2013-KW1657028-41562,2021-10-15,KW-1657028,Consumer,R0816,P001958,2,28.00,0.00,14.00
7,MX-2014-DP1300018-41909,2022-09-27,DP-1300018,Consumer,R0217,P002642,2,18.00,0.00,9.00
8,MX-2014-DP1300018-41909,2022-09-27,DP-1300018,Consumer,R0217,P000504,3,36.00,0.00,18.00
9,MX-2014-DP1300018-41909,2022-09-27,DP-1300018,Consumer,R0217,P000592,4,40.00,0.00,4.00
10,MX-2014-DP1300018-41909,2022-09-27,DP-1300018,Consumer,R0217,P003236,2,36.00,0.00,3.60
11,MX-2014-DP1300018-41909,2022-09-27,DP-1300018,Consumer,R0217,P000137,3,123.00,0.00,61.50
12,MX-2014-TB2125093-41703,2022-03-05,TB-2125093,Consumer,R2378,P004896,3,309.00,0.00,30.90
13,MX-2014-TB2125093-41703,2022-03-05,TB-2125093,Consumer,R2378,P003916,4,60.00,0.00,30.00
14,MX-2015-PK1891093-42271,2023-09-24,PK-1891093,Self-Employed,R2378,P009012,2,42.00,0.00,16.80
15,MX-2015-JK1562518-42295,2023-10-18,JK-1562518,Consumer,R0218,P004129,4,36.00,0.00,14.40
16,MX-2015-JK1562518-42295,2023-10-18,JK-1562518,Consumer,R0218,P000491,1,11.00,0.00,1.10
17,US-2014-HE1480098-41816,2022-06-26,HE-1480098,Corporate,R2447,P001175,2,36.00,0.40,3.60
18,US-2014-HE1480098-41816,2022-06-26,HE-1480098,Corporate,R2447,P003423,17,476.00,0.40,-119.00
19,US-2014-HE1480098-41816,2022-06-26,HE-1480098,Corporate,R2447,P000641,5,65.00,0.40,6.50
20,US-2014-HE1480098-41816,2022-06-26,HE-1480098,Corporate,R2447,P005201,10,220.00,0.40,22.00
21,MX-2014-JE1561082-41992,2022-12-19,JE-1561082,Corporate,R2177,P003315,12,36.00,0.20,10.80
22,MX-2014-TB2105526-41941,2022-10-29,TB-2105526,Consumer,R0540,P000328,1,13.00,0.00,1.30
23,MX-2014-TB2105526-41941,2022-10-29,TB-2105526,Consumer,R0540,P000544,9,252.00,0.00,25.20
24,US-2015-DW1319598-42280,2023-10-03,DW-1319598,Corporate,R2446,P002818,9,90.00,0.40,0.00
25,US-2013-SJ2021582-41543,2021-09-26,SJ-2021582,Consumer,R2138,P002089,9,63.00,0.40,-15.75
26,MX-2015-SP2065082-42173,2023-06-18,SP-2065082,Corporate,R2134,P000194,8,64.00,0.00,6.27
27,MX-2015-SP2065082-42173,2023-06-18,SP-2065082,Corporate,R2134,P000157,15,255.00,0.00,38.25
28,US-2014-SC2005055-41783,2022-05-24,SC-2005055,Self-Employed,R1585,P001662,1,4.00,0.40,0.40
29,US-2014-SC2005055-41783,2022-05-24,SC-2005055,Self-Employed,R1585,P007632,2,14.00,0.40,-4.20
30,US-2014-SC2005055-41783,2022-05-24,SC-2005055,Self-Employed,R1585,P003628,4,40.00,0.40,-12.00
31,US-2014-SC2005055-41783,2022-05-24,SC-2005055,Self-Employed,R1585,P000976,1,7.00,0.40,0.70
32,US-2014-SC2005055-41783,2022-05-24,SC-2005055,Self-Employed,R1585,P002169,4,40.00,0.40,4.00
33,US-2014-SC2005055-41783,2022-05-24,SC-2005055,Self-Employed,R1585,P002912,3,24.00,0.40,-7.25
34,US-2014-SC2005055-41783,2022-05-24,SC-2005055,Self-Employed,R1585,P000894,4,36.00,0.40,3.60
35,MX-2015-DM1352582-42139,2023-05-15,DM-1352582,Corporate,R2140,P002179,18,504.00,0.00,50.40
36,MX-2015-DM1352582-42139,2023-05-15,DM-1352582,Corporate,R2140,P003796,10,120.00,0.00,12.00
37,MX-2015-DM1352582-42139,2023-05-15,DM-1352582,Corporate,R2140,P011330,18,306.00,0.00,30.60
38,MX-2015-SC2044031-42189,2023-07-04,SC-2044031,Corporate,R0894,P000193,19,190.00,0.00,19.00
39,MX-2015-SC2044031-42189,2023-07-04,SC-2044031,Corporate,R0894,P000226,14,154.00,0.00,61.60
40,MX-2015-SC2044031-42189,2023-07-04,SC-2044031,Corporate,R0894,P007545,19,190.00,0.00,19.00
41,MX-2015-AR1082536-42347,2023-12-09,AR-1082536,Corporate,R0926,P000196,14,210.00,0.20,-21.00
42,MX-2014-RW1969082-41807,2022-06-17,RW-1969082,Consumer,R2167,P003990,4,92.00,0.00,9.20
43,MX-2015-MT1781582-42306,2023-10-29,MT-1781582,Consumer,R2219,P013497,2,12.00,0.00,4.80
44,MX-2015-MT1781582-42306,2023-10-29,MT-1781582,Consumer,R2219,P002513,2,18.00,0.00,7.20
45,MX-2015-MT1781582-42306,2023-10-29,MT-1781582,Consumer,R2219,P002075,3,33.00,0.00,3.30
46,MX-2015-LC1696018-42020,2023-01-16,LC-1696018,Self-Employed,R0210,P004381,3,408.00,0.00,163.20
47,US-2013-AS1024036-41391,2021-04-27,AS-1024036,Consumer,R0927,P009339,5,140.00,0.20,-7.00
48,US-2013-AS1024036-41391,2021-04-27,AS-1024036,Consumer,R0927,P005407,2,56.00,0.20,-5.71
49,MX-2012-SF2020018-41071,2020-06-11,SF-2020018,Consumer,R0381,P004868,2,26.00,0.00,3.90
50,MX-2015-MG1820528-42130,2023-05-06,MG-1820528,Corporate,R0823,P001856,1,11.00,0.00,1.10
51,MX-2012-KC1625582-41194,2020-10-12,KC-1625582,Corporate,R2164,P000820,12,264.00,0.00,26.40
52,US-2012-DW1348055-41000,2020-04-01,DW-1348055,Self-Employed,R1585,P005661,4,60.00,0.40,-18.12
53,US-2012-DW1348055-41000,2020-04-01,DW-1348055,Self-Employed,R1585,P000948,4,28.00,0.40,-8.46
54,US-2012-DW1348055-41000,2020-04-01,DW-1348055,Self-Employed,R1585,P002396,2,70.00,0.40,7.00
55,US-2012-DW1348055-41000,2020-04-01,DW-1348055,Self-Employed,R1585,P000194,4,32.00,0.40,3.20
56,MX-2014-DS1303036-41790,2022-05-31,DS-1303036,Self-Employed,R0927,P000395,4,32.00,0.20,-3.20
57,MX-2014-DS1303036-41790,2022-05-31,DS-1303036,Self-Employed,R0927,P000986,2,42.00,0.40,4.20
58,MX-2012-JM1558082-41045,2020-05-16,JM-1558082,Consumer,R2249,P000548,5,40.00,0.00,4.00
59,US-2012-PW1924098-41144,2020-08-23,PW-1924098,Consumer,R2446,P003723,3,108.00,0.40,10.80
60,MX-2014-DS1303018-41923,2022-10-11,DS-1303018,Self-Employed,R0425,P002173,4,68.00,0.00,6.80
61,MX-2012-CC1222082-41202,2020-10-20,CC-1222082,Consumer,R2147,P004665,1,5.00,0.00,2.50
62,MX-2015-MG1820518-42140,2023-05-16,MG-1820518,Corporate,R0458,P002760,10,110.00,0.00,44.00
63,US-2013-LC1688555-41512,2021-08-26,LC-1688555,Consumer,R1585,P002424,3,30.00,0.40,3.00
64,MX-2015-BT1153082-42077,2023-03-14,BT-1153082,Self-Employed,R2213,P003050,3,6.00,0.00,2.40
65,MX-2015-BT1153082-42077,2023-03-14,BT-1153082,Self-Employed,R2213,P001662,3,12.00,0.00,4.80
66,US-2013-RK1930055-41583,2021-11-05,RK-1930055,Consumer,R1587,P000989,2,36.00,0.70,-21.60
67,MX-2012-PB1921031-41059,2020-05-30,PB-1921031,Corporate,R0901,P000017,19,931.00,0.00,465.50
68,MX-2012-PB1921031-41059,2020-05-30,PB-1921031,Corporate,R0901,P001490,6,102.00,0.00,10.00
69,MX-2014-BM1114028-41843,2022-07-23,BM-1114028,Consumer,R0842,P002605,3,39.00,0.00,19.50
70,MX-2014-BM1114028-41843,2022-07-23,BM-1114028,Consumer,R0842,P000768,6,84.00,0.00,12.60
71,US-2015-TZ2144518-42259,2023-09-12,TZ-2144518,Corporate,R0451,P000078,14,56.00,0.20,-5.60
72,US-2012-GZ1447036-40963,2020-02-24,GZ-1447036,Consumer,R0927,P000487,2,30.00,0.70,-6.00
73,MX-2013-FM1421582-41321,2021-02-16,FM-1421582,Corporate,R2137,P002546,7,63.00,0.00,6.30
74,MX-2013-FM1421582-41321,2021-02-16,FM-1421582,Corporate,R2137,P000704,4,36.00,0.00,3.60
75,MX-2013-FM1421582-41321,2021-02-16,FM-1421582,Corporate,R2137,P006998,13,195.00,0.00,97.50
